Ap_An,H_Apn,Z
0.39385209087328266,0.24736842105263157,0.1496882090760586
0.39385209087328266,0.26842105263157895,0.13777362472218724
0.39385209087328266,0.2894736842105263,0.12767387059338342
0.39385209087328266,0.31052631578947365,0.11903244272666884
0.39385209087328266,0.3315789473684211,0.11156583948449969
0.39385209087328266,0.3526315789473684,0.10504759536923672
0.39385209087328266,0.37368421052631584,0.0992964294829298
0.39385209087328266,0.39473684210526316,0.09416671454718667
0.39385209087328266,0.4157894736842105,0.0895415980510679
0.39385209087328266,0.4368421052631579,0.08532707230839812
0.39385209087328266,0.45789473684210524,0.08144754554859328
0.39385209087328266,0.4789473684210527,0.07784231532524215
0.39385209087328266,0.5,0.07446274320816419
0.46656155022255896,0.1,0.38999505048049865
0.46656155022255896,0.12105263157894737,0.32424024940291496
0.46656155022255896,0.14210526315789473,0.2776122627078023
0.46656155022255896,0.1631578947368421,0.24247828649091668
0.46656155022255896,0.1842105263157895,0.21489451611123583
0.46656155022255896,0.20526315789473684,0.1926707057463541
0.46656155022255896,0.22631578947368422,0.17445904257809874
0.46656155022255896,0.24736842105263157,0.15934665503609202
0.46656155022255896,0.26842105263157895,0.14667162226592087
0.46656155022255896,0.2894736842105263,0.13593349953550393
0.46656155022255896,0.31052631578947365,0.1267450745090919
0.46656155022255896,0.3315789473684211,0.11880272097840996
0.46656155022255896,0.3526315789473684,0.11186638761600223
0.46656155022255896,0.37368421052631584,0.10574524721612787
0.46656155022255896,0.39473684210526316,0.10028700962658861
0.46656155022255896,0.4157894736842105,0.09536953875151587
0.46656155022255896,0.4368421052631579,0.09089480770964627
0.46656155022255896,0.45789473684210524,0.08678395882439785
0.46656155022255896,0.4789473684210527,0.0829734391598162
0.46656155022255896,0.5,0.07941222605229467
0.5526939812949053,0.1,0.4155020955136403
0.5526939812949053,0.12105263157894737,0.34577353980842374
0.5526939812949053,0.14210526315789473,0.29625333538050225
0.5526939812949053,0.1631578947368421,0.25885615163684306
0.5526939812949053,0.1842105263157895,0.22942606024435042
0.5526939812949053,0.20526315789473684,0.20567136609717088
0.5526939812949053,0.22631578947368422,0.18618584911736336
0.5526939812949053,0.24736842105263157,0.1700146602242657
0.5526939812949053,0.26842105263157895,0.15646094708850417
0.5526939812949053,0.2894736842105263,0.14499368543465047
0.5526939812949053,0.31052631578947365,0.13519868529502546
0.5526939812949053,0.3315789473684211,0.12674893142465424
0.5526939812949053,0.3526315789473684,0.11938440881012316
0.5526939812949053,0.37368421052631584,0.11289761029685008
0.5526939812949053,0.39473684210526316,0.10712232713570241
0.5526939812949053,0.4157894736842105,0.10192525796650824
0.5526939812949053,0.4368421052631579,0.09719916215985935
0.5526939812949053,0.45789473684210524,0.09285783302236404
0.5526939812949053,0.4789473684210527,0.08883201600797455
0.5526939812949053,0.5,0.08506617713375016
